name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples
AMD Sempron 240,36.1,65.0,2018-10-01,FM2,Desktop,2900.0,3300.0,1,2,1,2730,1
AMD Sempron 2400+,12.99,0.0,2008-12-01,Socket A,Desktop,1667.0,0.0,1,1,1,3867,22
AMD Sempron 2500+,59.95,0.0,2009-03-01,Socket A,Desktop,1750.0,0.0,1,1,1,3862,42
AMD Sempron 2600+,34.95,0.0,2008-12-01,Socket A,Desktop,1833.0,0.0,1,1,1,3796,50
AMD Sempron 2650 APU,157.99,25.0,2014-04-01,"AM1,FSB1",Desktop,1450.0,0.0,1,2,1,3440,46
AMD Sempron 2800+,29.95,62.0,2008-12-01,AM2,Desktop,2000.0,0.0,1,1,1,3812,128
AMD Sempron 3000+,34.95,62.0,2008-12-01,AM2,Desktop,2000.0,0.0,1,1,1,3777,187
AMD Sempron 3100+,65.0,62.0,2009-03-01,754,Desktop,1800.0,0.0,1,1,1,3727,27
AMD Sempron 3200+,124.68,62.0,2009-01-01,AM2,Desktop,1800.0,0.0,1,1,1,3802,79
AMD Sempron 3300+,20.0,62.0,2008-12-01,754,Desktop,2200.0,0.0,1,1,1,3707,13
AMD Sempron 3400+,86.68,62.0,2008-12-01,AM2,Desktop,2000.0,0.0,1,1,1,3739,103
AMD Sempron 3500+,24.99,62.0,2009-03-01,AM2,Desktop,2000.0,0.0,1,1,1,3835,10
AMD Sempron 3600+,15.0,62.0,2009-03-01,AM2,Desktop,2000.0,0.0,1,1,1,3642,32
AMD Sempron 3800+,14.99,62.0,2008-12-01,AM2,Desktop,2200.0,0.0,1,1,1,3645,4
AMD Sempron 3850 APU,47.58,25.0,2014-04-01,"AM1,FS1b",Desktop,1300.0,0.0,1,4,1,2838,100
AMD Sempron Dual Core 2100,37.99,65.0,2009-03-01,Unknown,Unknown,1800.0,0.0,1,2,1,3469,6
AMD Sempron Dual Core 2200,39.95,65.0,2009-05-01,Unknown,Unknown,2000.0,0.0,1,2,1,3436,10
AMD Sempron Dual Core 2300,41.99,65.0,2009-09-01,Unknown,Unknown,2200.0,0.0,1,2,1,3449,7
AMD Sempron LE-1100,34.95,45.0,2009-03-01,AM2,Desktop,1900.0,0.0,1,1,1,3703,47
AMD Sempron LE-1150,14.94,45.0,2009-03-01,AM2,Desktop,2000.0,0.0,1,1,1,3800,34
AMD Sempron LE-1200,14.95,45.0,2009-03-01,AM2,Desktop,2100.0,0.0,1,1,1,3658,38
AMD Sempron LE-1250,99.99,45.0,2009-02-01,AM2,Desktop,2200.0,0.0,1,1,1,3723,87
AMD Sempron LE-1300,27.0,45.0,2009-05-01,AM2,Desktop,2300.0,0.0,1,1,1,3602,49
AMD Sempron M100,12.0,0.0,2009-11-01,Unknown,Unknown,2000.0,0.0,1,1,1,3674,37
AMD Sempron M120,0.0,25.0,2010-02-01,S1,Laptop,2100.0,0.0,1,1,1,3806,44
AMD Sempron SI-40,12.0,25.0,2009-03-01,S1,Laptop,2000.0,0.0,1,1,1,3748,33
AMD Sempron SI-42,29.99,25.0,2009-03-01,S1,Laptop,2100.0,0.0,1,1,1,3787,122
AMD Sempron X2 180,69.4,45.0,2011-12-01,Unknown,Unknown,2400.0,0.0,1,2,1,3146,5
AMD Sempron X2 190,83.44,45.0,2012-06-01,AM2+/AM3,Unknown,2500.0,0.0,1,2,1,3088,17
AMD Sempron X2 198 Dual-Core,0.0,65.0,2015-05-01,FM1,Desktop,2500.0,0.0,1,2,1,3050,1
AMD Turion 64 Mobile MK-36,0.0,31.0,2009-01-01,S1,Laptop,2000.0,0.0,1,1,1,3685,62
AMD Turion 64 Mobile MK-38,0.0,31.0,2009-03-01,S1,Laptop,2200.0,0.0,1,1,1,3643,30
AMD Turion 64 Mobile ML-28,0.0,25.0,2009-03-01,754,Laptop,1600.0,0.0,1,1,1,3793,3
AMD Turion 64 Mobile ML-30,0.0,35.0,2009-03-01,754,Laptop,1600.0,0.0,1,1,1,3763,14
AMD Turion 64 Mobile ML-32,0.0,35.0,2008-12-01,754,Laptop,1800.0,0.0,1,1,1,3751,34
AMD Turion 64 Mobile ML-34,0.0,35.0,2009-02-01,754,Laptop,1800.0,0.0,1,1,1,3764,22
AMD Turion 64 Mobile ML-37,25.99,35.0,2009-03-01,754,Laptop,2000.0,0.0,1,1,1,3682,25
AMD Turion 64 Mobile ML-40,0.0,35.0,2009-02-01,754,Laptop,2200.0,0.0,1,1,1,3678,8
AMD Turion 64 Mobile ML-42,0.0,35.0,2009-05-01,754,Laptop,2400.0,0.0,1,1,1,3600,2
AMD Turion 64 Mobile ML-44,0.0,35.0,2009-03-01,754,Laptop,2400.0,0.0,1,1,1,3623,3
AMD Turion 64 Mobile MT-30,0.0,25.0,2009-03-01,754,Laptop,1600.0,0.0,1,1,1,3807,8
AMD Turion 64 Mobile MT-32,0.0,24.0,2009-03-01,754,Laptop,1800.0,0.0,1,1,1,3750,7
AMD Turion 64 Mobile MT-34,0.0,24.0,2009-03-01,754,Laptop,1800.0,0.0,1,1,1,3760,5
AMD Turion 64 Mobile MT-37,0.0,25.0,2009-03-01,754,Laptop,2000.0,0.0,1,1,1,3705,4
AMD Turion 64 X2 Mobile TL-50,18.99,31.0,2009-02-01,S1,Laptop,1600.0,0.0,1,2,1,3547,135
AMD Turion 64 X2 Mobile TL-52,0.0,31.0,2009-02-01,S1,Laptop,1600.0,0.0,1,2,1,3505,91
AMD Turion 64 X2 Mobile TL-56,65.4,31.0,2009-02-01,S1,Laptop,1800.0,0.0,1,2,1,3549,162
AMD Turion 64 X2 Mobile TL-58,0.0,31.0,2009-02-01,S1,Laptop,1900.0,0.0,1,2,1,3520,174
AMD Turion 64 X2 Mobile TL-60,15.95,31.0,2009-02-01,S1,Laptop,2000.0,0.0,1,2,1,3383,390
AMD Turion 64 X2 Mobile TL-62,29.0,35.0,2009-03-01,S1,Laptop,2100.0,0.0,1,2,1,3223,35
AMD Turion 64 X2 Mobile TL-64,39.39,35.0,2009-03-01,S1,Laptop,2200.0,0.0,1,2,1,3311,83
AMD Turion 64 X2 Mobile TL-66,89.0,35.0,2009-04-01,S1,Laptop,2300.0,0.0,1,2,1,3289,17
AMD Turion 64 X2 Mobile TL-68,90.0,35.0,2009-03-01,S1,Laptop,2400.0,0.0,1,2,1,3102,20
AMD Turion Dual-Core RM-70,25.0,31.0,2008-12-01,S1,Laptop,2000.0,0.0,1,2,1,3438,36
AMD Turion Dual-Core RM-72,29.99,35.0,2009-02-01,S1,Laptop,2100.0,0.0,1,2,1,3341,20
AMD Turion Dual-Core RM-74,0.0,35.0,2014-01-01,S1,Laptop,2200.0,0.0,1,2,1,3406,1
AMD Turion Dual-Core RM-75,21.49,35.0,2009-08-01,S1,Laptop,2200.0,0.0,1,2,1,3332,14
AMD Turion II Dual-Core Mobile M500,0.0,35.0,2009-10-01,S1,Laptop,2200.0,0.0,1,2,1,3266,153
AMD Turion II Dual-Core Mobile M520,69.1,35.0,2009-10-01,S1,Laptop,2300.0,0.0,1,2,1,3137,160
AMD Turion II Dual-Core Mobile M540,0.0,35.0,2011-08-01,S1,Laptop,2400.0,0.0,1,2,1,3065,8
AMD Turion II N530 Dual-Core,30.0,35.0,2010-06-01,S1,Laptop,2500.0,0.0,1,2,1,3112,22
AMD Turion II N550 Dual-Core,0.0,35.0,2011-03-01,S1,Laptop,2600.0,0.0,1,2,1,3091,5
AMD Turion II Neo K625 Dual-Core,0.0,15.0,2010-06-01,S1,Laptop,1500.0,0.0,1,2,1,3434,15
AMD Turion II Neo K685 Dual-Core,0.0,15.0,2011-01-01,BGA812,Laptop,1800.0,0.0,1,2,1,3302,2
AMD Turion II Neo N40L Dual-Core,0.0,15.0,2011-12-01,BGA812,Laptop,1500.0,0.0,1,2,1,3405,37
AMD Turion II Neo N54L Dual-Core,0.0,25.0,2011-10-01,BGA812,Laptop,2200.0,0.0,1,2,1,3147,54
AMD Turion II P520 Dual-Core,0.0,25.0,2010-06-01,S1,Laptop,2300.0,0.0,1,2,1,3176,117
AMD Turion II P540 Dual-Core,49.95,35.0,2010-09-01,S1,Laptop,2400.0,0.0,1,2,1,3019,169
AMD Turion II P560 Dual-Core,0.0,25.0,2011-01-01,S1,Laptop,2500.0,0.0,1,2,1,3157,83
AMD Turion II Ultra Dual-Core Mobile M600,16.76,35.0,2009-10-01,S1,Laptop,2400.0,0.0,1,2,1,3057,76
AMD Turion II Ultra Dual-Core Mobile M620,0.0,35.0,2010-02-01,S1,Laptop,2500.0,0.0,1,2,1,3163,68
AMD Turion II Ultra Dual-Core Mobile M640,0.0,35.0,2009-11-01,S1,Laptop,2600.0,0.0,1,2,1,2963,18
AMD Turion II Ultra Dual-Core Mobile M660,0.0,35.0,2010-03-01,S1,Laptop,2700.0,0.0,1,2,1,2969,9
AMD Turion Neo X2 Dual Core L625,0.0,18.0,2009-06-01,ASB1,Laptop,1600.0,0.0,1,2,1,3562,29
AMD Turion X2 Dual Core L510,0.0,20.0,2010-07-01,ASB1,Laptop,1600.0,0.0,1,2,1,3385,2
AMD Turion X2 Dual Core Mobile RM-70,132.56,31.0,2009-11-01,S1,Laptop,2000.0,0.0,1,2,1,3508,5
AMD Turion X2 Dual Core Mobile RM-76,0.0,35.0,2009-09-01,S1,Laptop,2300.0,0.0,1,2,1,3295,9
AMD Turion X2 Dual-Core Mobile RM-70,0.0,31.0,2009-03-01,S1,Laptop,2000.0,0.0,1,2,1,3364,114
AMD Turion X2 Dual-Core Mobile RM-72,224.26,35.0,2008-11-01,S1,Laptop,2100.0,0.0,1,2,1,3323,151
AMD Turion X2 Dual-Core Mobile RM-74,14.95,35.0,2009-04-01,S1,Laptop,2200.0,0.0,1,2,1,3366,128
AMD Turion X2 Dual-Core Mobile RM-75,0.0,35.0,2009-05-01,S1,Laptop,2200.0,0.0,1,2,1,3271,84
AMD Turion X2 Dual-Core Mobile RM-77,0.0,35.0,2009-07-01,S1,Laptop,2300.0,0.0,1,2,1,3355,4
AMD Turion X2 Ultra Dual-Core Mobile ZM-80,49.95,32.0,2009-03-01,S1,Laptop,2100.0,0.0,1,2,1,3497,55
AMD Turion X2 Ultra Dual-Core Mobile ZM-82,0.0,35.0,2009-02-01,S1,Laptop,2200.0,0.0,1,2,1,3273,92
AMD Turion X2 Ultra Dual-Core Mobile ZM-84,49.95,35.0,2009-02-01,S1,Laptop,2300.0,0.0,1,2,1,3186,44
AMD Turion X2 Ultra Dual-Core Mobile ZM-85,45.0,35.0,2009-08-01,S1,Laptop,2300.0,0.0,1,2,1,3178,12
AMD Turion X2 Ultra Dual-Core Mobile ZM-86,61.0,35.0,2009-04-01,S1,Laptop,2400.0,0.0,1,2,1,3291,19
AMD Turion X2 Ultra Dual-Core Mobile ZM-87,39.95,35.0,2009-04-01,S1,Laptop,2400.0,0.0,1,2,1,3298,35
AMD TurionX2 Dual Core Mobile RM-70,0.0,31.0,2009-02-01,S1,Laptop,2000.0,0.0,1,2,1,3467,34
AMD TurionX2 Dual Core Mobile RM-72,0.0,35.0,2009-04-01,S1,Laptop,2100.0,0.0,1,2,1,3534,6
AMD TurionX2 Ultra DualCore Mobile ZM-85,0.0,35.0,2014-02-01,S1,Laptop,2300.0,0.0,1,2,1,3125,1
AMD TurionX2 Ultra DualCore Mobile ZM-87,0.0,35.0,2022-01-01,S1,Mobile/Embedded,2400.0,0.0,1,2,1,3389,1
AMD V105,0.0,9.0,2010-10-01,BGA812,Laptop,1200.0,0.0,1,1,1,3895,6
AMD V120,0.0,25.0,2010-06-01,S1,Laptop,2200.0,0.0,1,1,1,3656,105
AMD V140,39.95,25.0,2010-10-01,S1,Laptop,2300.0,0.0,1,1,1,3628,178
AMD V160,0.0,25.0,2011-01-01,S1,Laptop,2400.0,0.0,1,1,1,3675,62
AMD Z-01,0.0,0.0,2011-12-01,Unknown,Unknown,1000.0,0.0,1,2,1,3716,5
AMD Z-60 APU,0.0,4.5,2013-03-01,FT1,Laptop,1000.0,0.0,1,2,1,3785,4
Amlogic,0.0,0.0,2021-02-01,Unknown,Unknown,1908.0,0.0,1,4,1,3453,61
Apple A11 Bionic,0.0,0.0,2021-02-01,Unknown,Mobile/Embedded,2390.0,0.0,1,6,1,1445,1709
Apple A12 Bionic,0.0,0.0,2021-02-01,Unknown,Mobile/Embedded,2490.0,0.0,1,6,1,1362,1279
Apple A12X Bionic,0.0,0.0,2021-02-01,Unknown,Mobile/Embedded,2490.0,0.0,1,8,1,705,519
Apple A13 Bionic,0.0,0.0,2021-02-01,Unknown,Mobile/Embedded,2650.0,0.0,1,6,1,1291,1894
Apple A14 Bionic,0.0,0.0,2021-02-01,Unknown,Mobile/Embedded,2990.0,0.0,1,6,1,848,2979
Apple A8,0.0,0.0,2021-02-01,Unknown,Mobile/Embedded,1100.0,1500.0,1,2,1,2551,58
Apple A8X,0.0,0.0,2021-02-01,Unknown,Mobile/Embedded,1500.0,0.0,1,3,1,2055,256
Apple A9,0.0,0.0,2021-02-01,Unknown,Mobile/Embedded,1850.0,0.0,1,2,1,2228,1044
Apple A9X,0.0,0.0,2021-02-01,Unknown,Mobile/Embedded,2160.0,2260.0,1,2,1,1985,207
Apple M1 8 Core 3200 MHz,0.0,15.1,2021-02-01,Unknown,"Desktop, Laptop, Mobile/Embedded",3228.0,0.0,1,4,1,545,3821
Apple M1 Max 10 Core 3200 MHz,0.0,0.0,2021-10-01,Unknown,"Desktop, Laptop",3228.0,0.0,1,8,1,275,1022
Apple M1 Pro 10 Core 3200 MHz,0.0,0.0,2021-10-01,Unknown,"Desktop, Laptop",3228.0,0.0,1,8,1,284,921
Apple M1 Pro 8 Core 3200 MHz,0.0,0.0,2021-10-01,Unknown,"Desktop, Laptop",3228.0,0.0,1,6,1,433,542
Apple M1 Ultra 20 Core,0.0,60.0,2022-03-01,Unknown,Desktop,3228.0,0.0,1,16,1,71,77
Apple M2 8 Core 3500 MHz,0.0,0.0,2022-07-01,Unknown,"Desktop, Laptop",3500.0,0.0,1,4,1,495,371
ARM - 8 Core 1766 MHz,0.0,0.0,2022-10-01,Unknown,Unknown,1766.0,0.0,1,8,1,1495,1
ARM ARMv7 rev 3 (v7l) 4 Core 2065 MHz,0.0,0.0,2021-11-01,Unknown,Unknown,2065.0,0.0,1,4,1,2998,2
ARM ARMv7 rev 4 (v7l) 4 Core 1200 MHz,0.0,0.0,2021-01-01,Unknown,Unknown,1200.0,0.0,1,4,1,3608,2
ARM ARMv7 rev 4 (v7l) 4 Core 1400 MHz,0.0,0.0,2022-04-01,Unknown,Unknown,1400.0,0.0,1,4,1,3605,1
ARM Cortex-A15 8 Core 1400 MHz,0.0,0.0,2022-10-01,Unknown,Unknown,1400.0,0.0,1,8,1,2830,1
ARM Cortex-A17 4 Core 1800 MHz,0.0,0.0,2021-10-01,Unknown,Unknown,1800.0,0.0,1,4,1,3330,2
ARM Cortex-A35 4 Core 1200 MHz,0.0,0.0,2022-10-01,Unknown,Unknown,1200.0,0.0,1,4,1,3691,1
ARM Cortex-A35 4 Core 1296 MHz,0.0,0.0,2022-01-01,Unknown,Unknown,1296.0,0.0,1,4,1,3684,1
ARM Cortex-A53 4 Core 1000 MHz,0.0,0.0,2022-11-01,Unknown,Unknown,1000.0,0.0,1,4,1,3657,1
ARM Cortex-A53 4 Core 1152 MHz,0.0,0.0,2021-02-01,Unknown,Unknown,1152.0,0.0,1,4,1,3669,10
ARM Cortex-A53 4 Core 1200 MHz,0.0,0.0,2021-02-01,Unknown,Unknown,1200.0,0.0,1,4,1,3694,11
ARM Cortex-A53 4 Core 1296 MHz,0.0,0.0,2021-02-01,Unknown,Unknown,1296.0,0.0,1,4,1,3568,8
ARM Cortex-A53 4 Core 1392 MHz,0.0,0.0,2021-11-01,Unknown,Unknown,1392.0,0.0,1,4,1,3606,2
ARM Cortex-A53 4 Core 1400 MHz,0.0,0.0,2021-02-01,Unknown,Unknown,1400.0,0.0,1,4,1,3644,11
ARM Cortex-A53 4 Core 1500 MHz,0.0,0.0,2022-08-01,Unknown,Unknown,1500.0,0.0,1,4,1,3653,1
ARM Cortex-A53 4 Core 1512 MHz,0.0,0.0,2021-03-01,Unknown,Unknown,1512.0,0.0,1,4,1,3541,8
ARM Cortex-A53 4 Core 1536 MHz,0.0,0.0,2021-05-01,Unknown,Unknown,1536.0,0.0,1,4,1,3869,4
ARM Cortex-A53 4 Core 1600 MHz,0.0,0.0,2022-01-01,Unknown,Unknown,1600.0,0.0,1,4,1,3599,1
ARM Cortex-A53 4 Core 1704 MHz,0.0,0.0,2022-09-01,Unknown,Unknown,1704.0,0.0,1,4,1,3455,3
ARM Cortex-A53 4 Core 1800 MHz,0.0,0.0,2021-02-01,Unknown,Unknown,1800.0,0.0,1,4,1,3530,14
ARM Cortex-A53 4 Core 1908 MHz,0.0,0.0,2022-08-01,Unknown,Unknown,1908.0,0.0,1,4,1,3352,1
ARM Cortex-A53 6 Core 1896 MHz,0.0,0.0,2021-02-01,Unknown,Unknown,1896.0,0.0,1,6,1,2351,1
ARM Cortex-A55 4 Core 1800 MHz,0.0,0.0,2022-05-01,Unknown,Unknown,1800.0,0.0,1,4,1,3333,3
ARM Cortex-A55 4 Core 1992 MHz,0.0,0.0,2022-02-01,Unknown,Unknown,1992.0,0.0,1,4,1,3264,6
ARM Cortex-A55 4 Core 2100 MHz,0.0,0.0,2021-10-01,Unknown,Unknown,2100.0,0.0,1,4,1,3260,1
ARM Cortex-A55 4 Core 2124 MHz,0.0,0.0,2022-03-01,Unknown,Unknown,2124.0,0.0,1,4,1,3238,1
ARM Cortex-A57 4 Core 1479 MHz,0.0,0.0,2021-01-01,Unknown,Unknown,1479.0,0.0,1,4,1,3028,22
ARM Cortex-A57 4 Core 1734 MHz,0.0,0.0,2021-11-01,Unknown,Unknown,1734.0,0.0,1,4,1,2820,2
ARM Cortex-A57 4 Core 2014 MHz,0.0,0.0,2021-03-01,Unknown,Unknown,2014.0,0.0,1,4,1,2836,3
ARM Cortex-A57 4 Core 2091 MHz,0.0,0.0,2022-04-01,Unknown,Unknown,2091.0,0.0,1,4,1,2704,1
ARM Cortex-A57 8 Core 1500 MHz,0.0,0.0,2021-02-01,Unknown,Unknown,1500.0,0.0,1,8,1,2961,2
ARM Cortex-A57 8 Core 1766 MHz,0.0,0.0,2022-11-01,Unknown,Unknown,1766.0,0.0,1,8,1,1561,1
ARM Cortex-A7 2 Core 1080 MHz,0.0,0.0,2021-05-01,Unknown,Unknown,1080.0,0.0,1,2,1,3957,2
ARM Cortex-A7 2 Core 960 MHz,0.0,0.0,2021-03-01,Unknown,Unknown,960.0,0.0,1,2,1,4001,2
ARM Cortex-A7 4 Core 1008 MHz,0.0,0.0,2022-10-01,Unknown,Unknown,1008.0,0.0,1,4,1,3773,1
ARM Cortex-A7 4 Core 1200 MHz,0.0,0.0,2021-03-01,Unknown,Unknown,1200.0,0.0,1,4,1,3769,3
ARM Cortex-A7 4 Core 1300 MHz,0.0,0.0,2022-03-01,Unknown,Unknown,1300.0,0.0,1,4,1,3668,7
ARM Cortex-A7 4 Core 1368 MHz,0.0,0.0,2021-04-01,Unknown,Unknown,1368.0,0.0,1,4,1,3655,4
ARM Cortex-A7 4 Core 900 MHz,0.0,0.0,2021-03-01,Unknown,Unknown,900.0,0.0,1,4,1,3809,7
ARM Cortex-A72 4 Core 1200 MHz,0.0,0.0,2022-08-01,Unknown,Unknown,1200.0,0.0,1,4,1,3915,1
ARM Cortex-A72 4 Core 1500 MHz,0.0,0.0,2021-01-01,Unknown,Unknown,1500.0,0.0,1,4,1,3328,128
ARM Cortex-A72 4 Core 1600 MHz,0.0,0.0,2022-07-01,Unknown,Unknown,1600.0,0.0,1,4,1,3451,1
ARM Cortex-A72 4 Core 1750 MHz,0.0,0.0,2021-08-01,Unknown,Unknown,1750.0,0.0,1,4,1,3680,1
ARM Cortex-A72 4 Core 1800 MHz,0.0,0.0,2021-02-01,Unknown,Unknown,1800.0,0.0,1,4,1,3192,83
ARM Cortex-A72 4 Core 1850 MHz,0.0,0.0,2021-08-01,Unknown,Unknown,1850.0,0.0,1,4,1,3872,2
ARM Cortex-A72 4 Core 1900 MHz,0.0,0.0,2022-08-01,Unknown,Unknown,1900.0,0.0,1,4,1,2867,1
ARM Cortex-A72 4 Core 2000 MHz,0.0,0.0,2021-02-01,Unknown,Unknown,2000.0,0.0,1,4,1,3234,33
ARM Cortex-A72 4 Core 2100 MHz,0.0,0.0,2021-08-01,Unknown,Unknown,2100.0,0.0,1,4,1,3342,10
ARM Cortex-A72 4 Core 2200 MHz,0.0,0.0,2021-02-01,Unknown,Unknown,2200.0,0.0,1,4,1,3154,12
ARM Cortex-A72 4 Core 2300 MHz,0.0,0.0,2021-09-01,Unknown,Unknown,2300.0,0.0,1,4,1,2909,5
ARM Cortex-A72 4 Core 2394 MHz,0.0,0.0,2022-08-01,Unknown,Unknown,2394.0,0.0,1,4,1,2749,1
ARM Cortex-A72 4 Core 2400 MHz,0.0,0.0,2022-07-01,Unknown,Unknown,2400.0,0.0,1,4,1,2711,3
ARM Cortex-A72 4 Core 800 MHz,0.0,0.0,2022-07-01,Unknown,Unknown,800.0,0.0,1,4,1,3759,1
ARM Cortex-A72 6 Core 1416 MHz,0.0,0.0,2021-08-01,Unknown,Unknown,1416.0,0.0,1,6,1,2939,11
ARM Cortex-A72 6 Core 1512 MHz,0.0,0.0,2022-01-01,Unknown,Unknown,1512.0,0.0,1,6,1,2800,3
ARM Cortex-A73 6 Core 1992 MHz,0.0,0.0,2021-10-01,Unknown,Unknown,1992.0,0.0,1,6,1,2706,3
ARM Cortex-A73 6 Core 2016 MHz,0.0,0.0,2022-07-01,Unknown,Unknown,2016.0,0.0,1,6,1,2622,2
ARM D2000/8 8 Core 2300 MHz,0.0,0.0,2022-04-01,Unknown,Unknown,2300.0,0.0,1,8,1,1919,3
ARM Falkor V1/Kryo 8 Core 1900 MHz,0.0,0.0,2022-09-01,Unknown,Unknown,1900.0,0.0,1,8,1,2591,1
ARM FT-2000/4 4 Core 2200 MHz,0.0,0.0,2022-02-01,Unknown,Unknown,2200.0,0.0,1,4,1,3087,1
ARM Neoverse-N1 128 Core 3000 MHz,0.0,0.0,2022-09-01,Unknown,Unknown,3000.0,0.0,1,128,1,54,1
ARM Neoverse-N1 64 Core 0 MHz,0.0,0.0,2021-03-01,Unknown,Unknown,2500.0,0.0,1,64,1,164,3
ARM Neoverse-N1 80 Core 2600 MHz,0.0,0.0,2022-04-01,Unknown,Unknown,2600.0,0.0,1,80,1,378,1
ARM Neoverse-N1 80 Core 3000 MHz,0.0,0.0,2021-08-01,Unknown,Unknown,3000.0,0.0,1,80,1,88,11
ARM phytium FT1500a 4 Core 2000 MHz,0.0,0.0,2021-02-01,Unknown,Unknown,2000.0,0.0,1,4,1,2517,1
"ARM Phytium,D2000/8 E8C 8 Core 2300 MHz",0.0,0.0,2022-05-01,Unknown,Unknown,2300.0,0.0,1,8,1,2252,4
"ARM Phytium,FT-2000/4 8 Core 2300 MHz",0.0,0.0,2022-10-01,Unknown,Unknown,2300.0,0.0,1,8,1,1900,1
ARM X-Gene 32 Core 3000 MHz,0.0,0.0,2022-12-01,Unknown,Unknown,3000.0,0.0,1,32,1,883,1
ARM X-Gene 32 Core 3300 MHz,0.0,0.0,2021-12-01,Unknown,Unknown,3300.0,0.0,1,32,1,839,4
ASUS Tinker Board 2/2S,0.0,0.0,2022-01-01,Unknown,Mobile/Embedded,2016.0,0.0,1,6,1,2397,2
Athlon 64 Dual Core 3800+,0.0,35.0,2014-05-01,Unknown,Unknown,2000.0,0.0,1,2,1,3246,1
Athlon 64 Dual Core 5000+,0.0,89.0,2009-03-01,Unknown,Desktop,2600.0,0.0,1,2,1,3117,3
Athlon 64 Dual Core 5600+,0.0,65.0,2010-02-01,AM2,Desktop,2900.0,0.0,1,2,1,3093,3
Athlon Dual Core 4050e,0.0,45.0,2009-10-01,AM2,Desktop,2100.0,0.0,1,2,1,3319,6
Athlon Dual Core 4450e,0.0,45.0,2009-12-01,AM2,Desktop,2300.0,0.0,1,2,1,3306,2
Athlon Dual Core 4850e,0.0,45.0,2009-04-01,AM2,Desktop,2500.0,0.0,1,2,1,3211,5
BCM2711,0.0,0.0,2021-04-01,Unknown,Mobile/Embedded,1500.0,0.0,1,4,1,3140,6
BCM2835,0.0,0.0,2022-01-01,Unknown,Mobile/Embedded,1500.0,0.0,1,4,1,2763,2
Celeron Dual-Core T3000 @ 1.80GHz,0.0,35.0,2009-09-01,PGA478,Laptop,1800.0,0.0,1,2,1,3327,173
Celeron Dual-Core T3100 @ 1.90GHz,32.0,35.0,2009-10-01,BGA479,Laptop,1900.0,0.0,1,2,1,3446,139
Celeron Dual-Core T3300 @ 2.00GHz,14.97,35.0,2010-07-01,Î¼FCPGA-478,Laptop,2000.0,0.0,1,2,1,3368,84
Celeron Dual-Core T3500 @ 2.10GHz,0.0,35.0,2010-11-01,PGA478,Laptop,2100.0,0.0,1,2,1,3232,226
CentaurHauls @2500MHz,0.0,0.0,2022-06-01,Unknown,Unknown,2500.0,0.0,1,8,1,905,1
DG1301SML87HY,0.0,0.0,2022-01-01,Unknown,Unknown,2047.0,0.0,1,8,1,1593,1
DO-Regular,0.0,0.0,2021-05-01,Unknown,Unknown,1799.0,0.0,1,1,1,3155,3
Dual-Core AMD Opteron 1220 SE,0.0,103.0,2016-08-01,AM2,Server,2800.0,0.0,1,2,1,3231,1
Generic DT based system,0.0,0.0,2021-04-01,Unknown,Mobile/Embedded,1512.0,0.0,1,4,1,3377,5
Hardkernel ODROID-N2Plus,0.0,0.0,2022-04-01,Unknown,Mobile/Embedded,1800.0,0.0,1,6,1,2188,1
"Haydn based on Qualcomm Technologies, Inc SM8350",0.0,0.0,2021-04-01,Unknown,Mobile/Embedded,2841.0,0.0,1,8,1,1292,49
hi6210sft,0.0,0.0,2021-07-01,Unknown,Mobile/Embedded,1200.0,0.0,1,8,1,3180,5
HiSilicon Kirin 659,0.0,0.0,2021-05-01,Unknown,Mobile/Embedded,2362.0,0.0,1,8,1,2441,2
Hisilicon Kirin 930,0.0,0.0,2021-02-01,Unknown,Mobile/Embedded,2016.0,0.0,1,8,1,2630,13
Hisilicon Kirin 935,0.0,0.0,2022-04-01,Unknown,Mobile/Embedded,2208.0,0.0,1,8,1,2715,1
HiSilicon Kirin 950,0.0,0.0,2021-05-01,Unknown,Mobile/Embedded,2304.0,0.0,1,8,1,2260,2
Hisilicon Kirin 955,0.0,0.0,2022-06-01,Unknown,Mobile/Embedded,2516.0,0.0,1,8,1,1824,1
HiSilicon Kirin 960,0.0,0.0,2021-02-01,Unknown,Mobile/Embedded,2362.0,0.0,1,8,1,1905,7
HiSilicon Kirin 970,0.0,0.0,2021-04-01,Unknown,Mobile/Embedded,2362.0,0.0,1,8,1,1835,3
Hisilicon Kirin 990,0.0,0.0,2021-01-01,Unknown,Mobile/Embedded,2860.0,0.0,1,4,1,1554,47
Hisilicon Kirin710,0.0,0.0,2021-01-01,Unknown,Mobile/Embedded,2189000.0,0.0,1,8,1,2035,290
Hisilicon Kirin810,0.0,0.0,2021-02-01,Unknown,Mobile/Embedded,2276.0,0.0,1,8,1,1798,47
Hisilicon Kirin820,0.0,0.0,2021-07-01,Unknown,Mobile/Embedded,2362.0,0.0,1,8,1,1517,3
Hisilicon Kirin9000,0.0,0.0,2021-02-01,Unknown,Mobile/Embedded,3130.0,0.0,1,8,1,1324,4
Hisilicon Kirin970,0.0,0.0,2021-01-01,Unknown,Mobile/Embedded,2362000.0,0.0,1,8,1,1922,200
Hisilicon Kirin980,0.0,0.0,2021-01-01,Unknown,Mobile/Embedded,2600000.0,0.0,1,8,1,1450,399
